objectid,parentid,filename,format,type,language,creator,rights,subject,class,title,address,tourSiteNumber,date,modified,hasStylePeriod,architect,location,latitude,longitude,imageSource,imageDate,imageRights,description,sameAs
coll022,coll001,0121.jpg,image/jpg,Image;StillImage,,,,,Church building,Second Baptist Church,321 North Rogers Street,21,1913,,Romanesque Revival,Samuel Plato,West Side Historic District,39.1693944,-86.53904914,"Wikimedia Commons, User:Nyttend",2009-11-24,,"The Second Baptist congregation was established in Bloomington in 1872. Samuel Plato, a black architect from Louisville, designed this church according to the Akron plan: a square sanctuary with semi-circular seating. Plato was later employed by the federal government and designed many post offices and federal buildings. Here the limestone veneer façade has large gables, a square bell tower and stained glass windows. The cornerstone inscription reads: “Second Baptist Church/ 1913/ Please respect the privacy of the owners by Rev. M.M. Porter, Pastor.”",
coll023,,0200_combined.pdf,compound_object,Text,en,City of Bloomington,Division of Historic Preservation and Archaeology,Courthouse Square Historic District tour,Tour Brochure,A Walk Through the Courthouse Square Historic District,,,,,,,,,,,,,,
coll024,coll023,0201.jpg,image/jpg,Image;StillImage,,,,,Commercial building,Waldron Block,100 West 6th Street,1,1867,,,,Courthouse Square Historic District,39.16785055,-86.53373514,,1935,,"Pictured as it appeared in the 1930’s, this building once housed Joe Natale’s “Dixie Market.”Natale’s market moved from an open stand near the Harris Grand Theater, and took its name from the highway that ran through the city from Florida to Canada. The Central Union Phone exchange was once located on the second floor. Today, only the rounded hood molds on the east side of the building reflect its Italianate styling.",
coll025,coll023,0202.jpg,image/jpg,Image;StillImage,,,,,Commercial building,Vance Music Building,112 West 6th Street,2,1910,,Beaux-Arts (style),,Courthouse Square Historic District,39.16786796,-86.53424879,"Wikimedia Commons, User:Nyttend",2010-11-12,,"One of the stateliest neoclassical retail buildings on the square, the Vance Building was recently uncovered after being obscured by a large painted billboard for many years. Once considered part of the “Wicks Block” it housed the eastern section of the “Wicks BeeHive” an early locally owned department store. Later, it was occupied by Clayton’s Cigar Store, The Rendezvous Café, Dixie Liquors, and a series of furniture stores, one of which a former mayor of Bloomington owned: “The Buck Lemon Furniture Store.”",
coll026,coll023,0203.jpg,image/jpg,Image;StillImage,,,,,Commercial building,Fee Building,122 West 6th Street,3a,1853,,,,Courthouse Square Historic District,39.16778249,-86.53464836,Chase E. Hastings,2026-01-02,,"Drygoods and department stores have operated at the corner of 6th and College since the 1850’s. A perennial local favorite, the “Wicks Beehive” store located at 116 was remodeled in 1926, with Bloomington’s only Chicago commercial style façade. The limestone façade features wrought iron spandrels and fluted piers and covers two original buildings. The brick Sudbury Building once housed the Kappa Alphi Phi fraternity where Hoagy Carmichael and his friends gathered to play informally.",
coll027,coll023,0204.jpg,image/jpg,Image;StillImage,,,,,Commercial building,Sudbury Building,118 West 6th Street,3b,1873,,Italianate (architectural style),,Courthouse Square Historic District,39.16778578,-86.53454088,Chase E. Hastings,2026-01-02,,"Drygoods and department stores have operated at the corner of 6th and College since the 1850’s. A perennial local favorite, the “Wicks Beehive” store located at 116 was remodeled in 1926, with Bloomington’s only Chicago commercial style façade. The limestone façade features wrought iron spandrels and fluted piers and covers two original buildings. The brick Sudbury Building once housed the Kappa Alphi Phi fraternity where Hoagy Carmichael and his friends gathered to play informally.",
coll028,coll023,0205.jpg,image/jpg,Image;StillImage,,,,,Commercial building,Wicks Building,116 West 6th Street,3c,1891,1921,Chicago School,,Courthouse Square Historic District,39.16786951,-86.53440536,Chase E. Hastings,2026-01-02,,"Drygoods and department stores have operated at the corner of 6th and College since the 1850’s. A perennial local favorite, the “Wicks Beehive” store located at 116 was remodeled in 1926, with Bloomington’s only Chicago commercial style façade. The limestone façade features wrought iron spandrels and fluted piers and covers two original buildings. The brick Sudbury Building once housed the Kappa Alphi Phi fraternity where Hoagy Carmichael and his friends gathered to play informally.",
coll029,coll023,0206.jpg,image/jpg,Image;StillImage,,,,,Post office building,Old Post Office,119 West 7th Street,4,1915,,Beaux-Arts (style),,Courthouse Square Historic District,39.16830555,-86.53450388,"Wikimedia Commons, User:Nyttend",2011-01-04,,"One of several local Beaux-Arts style civic buildings built in the second decade of the twentieth century. Characteristic Beaux Arts decorations such as car- touche and garlands surround the main entrance, which once faced College Ave. The building was remodeled in 1989 and replacement windows and a standing seam metal roof were added.",
coll030,coll023,0207.jpg,image/jpg,Image;StillImage,,,,,Commercial building,Masonic Temple,120 West 7th Street,5,1915,,Beaux-Arts (style); 	Egyptian Revival,,Courthouse Square Historic District,39.16890727,-86.53445615,"Wikimedia Commons, User:Nyttend",2010-11-12,,"Beaux-Arts in symmetry but Egyptian Revival in detail, this large civic building has a stepped pyramidal roof with an unusual ornate urn at its pinnacle. In 1985 several windows were cut into the façade of this once fortress-like masonic building.",
coll031,coll023,0208.jpg,image/jpg,Image;StillImage,,,,,Commercial building,Graham Hotel Building,201-205 North College Avenue,6,1929,,Beaux-Arts (style),,Courthouse Square Historic District,39.16774432,-86.53511494,"Wikimedia Commons, User:Nyttend",2010-11-12,,"Three hotels have occupied the corner of College and 6th since 1895, the Gentry, the Bowles and in 1929, the Graham Hotel. Built by a prominent 1920’s entrepreneur, who also owned the auto dealership now used as the convention center, the Graham hosted many celebrities through the years, including Gloria Swanson, Jeanette MacDonald and Bette Davis, and was the site of many important local soirees and celebrations.",
coll032,coll023,0209.jpg,image/jpg,Image;StillImage,,,,,Commercial building,Howe Building,123-125 North College Avenue,7,1893,,Italianate (architectural style),,Courthouse Square Historic District,39.16736732,-86.5352106,"Wikimedia Commons, User:Nyttend",2010-11-12,,"Perhaps Bloomington’s finest pressed metal trim decorates this building. An Eastlake influence is seen in the sunburst frieze and heavy scrolled window hoods. A restoration in 1996 guided by the Secretary of the Interior’s Standards, removed a large sign that once obscured the storefront.",
coll033,coll023,0210.jpg,image/jpg,Image;StillImage,,,,,Commercial building,J.C. Penney Building,115 North College Avenue,8,1931,,Art Deco,,Courthouse Square Historic District,39.16725142,-86.5352671,"Wikimedia Commons, User:Nyttend",2010-11-12,,"This art deco façade covers three earlier brick buildings that are clearly visible from the rear. On the inside a pressed tin ceiling from this earlier era remains. A leaded clerestory tops the store front windows. Now a collection of shops and offices in a mall format, the building is called the Uptown Plaza.",
coll034,coll023,0211.jpg,image/jpg,Image;StillImage,,,,,Commercial building,Kresge Building,101 North College Avenue,9,1915,1930,Federal,,Courthouse Square Historic District,39.16674186,-86.53507732,"Wikimedia Commons, User:Nyttend",2010-11-12,,"Built as part of a chain of 5 and 10 cent stores popular in the early Twentieth Century, this classical revival storefront retains much of its original integrity. The College Avenue façade is bracketed by fluted pilasters topped by urns and crossed by a course of block modillions.",
